country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Thailand,2011,THA,67518384,8.78E+11,12.84,0.19,253.612,-1.793,-0.7,3.756,0.289,0.2,62.9,0.932,258.139,3.823,0.294,347.323,4863.135,827.295,,930.982,2757.535,,18568.322,1.428,,,70.495,1.044,5.217,5.235,80.63,1.194,22.73,0.337,107.377,1.59,,,1253.703,0.96,0.74,0.43,1.17,0.35,0.13,,0.51,0.57,,,1.11,0.95,,353.49,352.23,4.527,1.79
Thailand,2012,THA,67835968,9.41E+11,13.136,0.194,270.268,16.656,6.57,3.984,0.287,0.2,63.303,0.933,277.931,4.097,0.295,360.458,5133.403,890.598,,1011.528,2870.819,,19794.807,1.426,,,80.546,1.187,5.511,5.549,82.07,1.21,23.65,0.349,113.284,1.67,,,1342.8,0.95,0.77,0.42,1.16,0.36,0.13,,0.54,0.58,,,1.24,0.99,,376.44,373.85,7.663,2.84
Thailand,2013,THA,68144512,9.67E+11,14.926,0.219,287.598,17.33,6.41,4.22,0.297,0.209,66.219,0.972,288.708,4.237,0.299,375.385,5421,956.817,,1098.149,2990.65,,19811.404,1.396,,,86.621,1.271,5.664,5.685,80.27,1.178,22.9,0.336,119.831,1.758,,,1350.038,1.04,0.82,0.44,1.16,0.37,0.14,,0.56,0.59,,,1.32,1.03,,387.42,385.94,1.11,0.39
Thailand,2014,THA,68438752,9.76E+11,15.154,0.221,282.648,-4.949,-1.72,4.13,0.29,0.2,60.866,0.889,282.534,4.128,0.289,390.539,5703.649,1017.683,,1184.739,3110.688,,20343.916,1.427,,,86.59,1.265,5.552,5.609,76.76,1.122,22.78,0.333,120.038,1.754,,,1392.312,1.01,0.8,0.4,1.15,0.38,0.15,,0.59,0.6,,,1.3,1.03,,383.84,379.98,-0.114,-0.04
Thailand,2015,THA,68714512,1.00E+12,15.182,0.221,285.688,3.039,1.08,4.158,0.284,0.198,64.618,0.94,278.852,4.058,0.278,405.721,5989.336,1082.301,,1271.129,3230.186,,20715.242,1.417,,,86.39,1.257,5.603,5.645,72.13,1.05,21.17,0.308,119.498,1.739,,,1423.438,1.06,0.8,0.44,1.15,0.39,0.15,,0.61,0.61,,,1.27,1.01,,387.86,385.01,-6.836,-2.39
Thailand,2016,THA,68971312,1.04E+12,16.743,0.243,283.435,-2.253,-0.79,4.109,0.273,0.192,59.1,0.857,272.492,3.951,0.263,422.464,6272.771,1141.401,,1355.668,3353.238,,21058.521,1.401,,,84.539,1.226,5.732,5.96,75.42,1.093,22.47,0.326,123.052,1.784,,,1452.434,1.13,0.8,0.41,1.15,0.4,0.16,,0.63,0.62,,,1.21,1.03,,411.08,395.34,-10.942,-3.86
Thailand,2017,THA,69209824,1.08E+12,14.08,0.203,285.96,2.525,0.89,4.132,0.265,0.19,62.764,0.907,277.515,4.01,0.257,436.544,6558.731,1204.166,,1438.082,3479.939,,21356.773,1.37,,,82.414,1.191,5.812,6.039,75.27,1.088,24.09,0.348,126.701,1.831,,,1478.099,0.94,0.8,0.43,1.14,0.41,0.16,,0.65,0.62,,,1.16,1.04,,417.99,402.25,-8.445,-2.95
Thailand,2018,THA,69428456,1.12E+12,15.091,0.217,276.177,-9.783,-3.42,3.978,0.246,0.18,60.588,0.873,279.417,4.024,0.249,451.635,6834.908,1264.754,,1519.35,3599.169,,21940.064,1.355,,,81.268,1.171,5.864,6.07,74.32,1.07,21.99,0.317,119.23,1.717,,,1523.265,0.96,0.75,0.41,1.13,0.42,0.17,,0.66,0.63,,,1.09,0.98,,421.41,407.14,3.24,1.17
Vietnam,2010,VNM,87967656,4.10E+11,23.77,0.27,138.585,15.142,12.27,1.575,0.338,0.266,47.463,0.54,157.134,1.786,0.384,177.849,2045.911,992.521,,110.97,763.777,,6141.18,1.319,,,18.049,0.205,2.929,3.148,82.93,0.943,22.42,0.255,49.303,0.561,,,540.225,1.91,0.42,0.34,0.63,0.15,0.15,,0.06,0.16,,,0.29,0.44,,276.95,257.64,18.549,13.38
Vietnam,2011,VNM,88871384,4.34E+11,28.223,0.318,151.231,12.645,9.12,1.702,0.349,0.255,59.551,0.67,166.901,1.878,0.385,206.072,2197.142,1052.072,,127.249,810.954,,6719.17,1.377,,,16.279,0.183,2.951,2.703,83.47,0.939,21.03,0.237,47.178,0.531,,,597.142,2.1,0.44,0.4,0.7,0.16,0.16,,0.07,0.17,,,0.26,0.42,,240.18,262.23,15.67,10.36
